一网打尽 (yi1,wang3,da3,jin4)
语短情长 (yu3,duan3,qing2,chang2)
刺骨 (ci4,gu3)
走为上着 (zou3,wei4,shang4,zhao1)
发怒冲冠 (fa4,nu4,chong1,guan1)
刻骨 (ke4,gu3)
小脚女人 (xiao3,jiao3,nv3,ren2)
汇率 (hui4,lv4)
不速之客 (bu4,su4,zhi1,ke4)
语重心长 (yu3,zhong4,xin1,chang2)
口干舌焦 (kou3,gan1,she2,jiao1)
呼啦 (hu1,la1)
婚龄 (hun1,ling2)
闷子车 (men4,zi3,che1)
鸡皮疙瘩 (ji1,pi2,ge1,da1)
五言长城 (wu3,yan2,chang2,cheng2)
尽数 (jin4,shu4)
长江后浪推前浪 (chang2,jiang1,hou4,lang4,tui1,qian2,lang4)
身首异处 (shen1,shou3,yi4,chu4)
片长末技 (pian4,chang2,mo4,ji4)
雄材大略 (xiong2,cai2,da4,lve4)
尽付东流 (jin4,fu4,dong1,liu2)
钻火得冰 (zuan1,huo3,de2,bing1)
盛必虑衰 (sheng4,bi4,lv4,shuai1)
岁差 (sui4,cha4)
远见卓识 (yuan3,jian4,zhuo2,shi2)
长眠 (chang2,mian2)
尽是 (jin4,shi4)
不置可否 (bu4,zhi4,ke3,fou3)
女主人 (nv3,zhu3,ren2)
求过于供 (qiu2,guo4,yu2,gong4)
骨肉相残 (gu3,rou4,xiang1,can2)
发毛 (fa1,mao2)
吹弹 (chui1,tan2)
长矛 (chang2,mao2)
以一当十 (yi3,yi1,dang1,shi2)
瞿塘峡 (qu2,tang2,xia2)
鸮鸣鼠暴 (xiao1,ming2,shu3,bao4)
长石 (chang2,shi2)
长短 (chang2,duan3)
钓钩 (diao4,gou1)
薄板 (bao2,ban3)
有一天 (you3,yi1,tian1)
长乐未央 (chang2,le4,wei4,yang1)
挑三嫌四 (tiao1,san1,xian2,si4)
风尘碌碌 (feng1,chen2,lu4,lu4)
丧明之痛 (sang4,ming2,zhi1,tong4)
岿然不动 (kui1,ran2,bu4,dong4)
媚骨 (mei4,gu3)
包藏 (bao1,cang2)
藏猫儿 (cang2,mao1,er2)
干酵母 (gan1,jiao4,mu3)
成功率 (cheng2,gong1,lv4)
深谋远虑 (shen1,mou2,yuan3,lv4)
骄泰淫泆 (jiao1,tai5,yin2,zhuang4)
天长地久 (tian1,chang2,di4,jiu3)
肤见谫识 (fu1,jian4,jian3,shi2)
好梦不长 (hao3,meng4,bu4,chang2)
劲道 (jin4,dao4)
鸡血石 (ji1,xie3,shi2)
一长半短 (yi1,chang2,ban4,duan3)
挑错 (tiao1,cuo4)
钩爪锯牙 (gou1,zhao3,ju4,ya2)
随处 (sui2,chu4)
牛听弹琴 (niu2,ting1,tan2,qin2)
裸裎袒裼 (luo3,cheng2,tan3,xi1)
百里挑一 (bai3,li3,tiao1,yi1)
意味深长 (yi4,wei4,shen1,chang2)
帕斯卡定律 (pa4,si1,ka3,ding4,lv4)
沉着痛快 (chen2,zhuo2,tong4,kuai4)
长空 (chang2,kong1)
竭诚尽节 (jie2,cheng2,jin4,jie2)
靡所底止 (mi2,suo3,di3,zhi3)
长篇大套 (chang2,pian1,da4,tao4)
咧咧 (lie1,lie1)
螳臂当辙 (tang2,bi4,dang1,zhe2)
绕口令 (rao4,kou3,ling4)
流风遗迹 (liu2,feng1,yi2,ji4)
哗众 (hua2,zhong4)
粘结 (nian2,jie2)
凡胎浊骨 (fan2,tai1,zhuo2,gu3)
积谗磨骨 (ji1,chan2,mo2,gu3)
男唱女随 (nan2,chang4,nv3,sui2)
长笛 (chang2,di2)
吾谁与归 (wu2,shui2,yu3,gui1)
长策 (chang2,ce4)
铭心镂骨 (ming2,xin1,lou4,gu3)
挣钱 (zheng4,qian2)
鼓劲 (gu3,jin4)
数白论黄 (shu3,bai2,lun4,huang2)
相思子 (xiang1,si1,zi3)
为渊驱鱼 (wei4,yuan1,qu1,yu2)
闹哄哄 (nao4,hong1,hong3)
挑三拨四 (tiao1,san1,bo1,si4)
虎劲 (hu3,jin4)
长篇 (chang2,pian1)
一鳞一爪 (yi1,lin2,yi1,zhao3)
镌骨铭心 (juan1,gu3,ming2,xin1)
雪胎梅骨 (xue3,tai1,mei2,gu3)
千状万态 (qian1,zhuang4,wan4,tai5)
与时消息 (yu3,shi2,xiao1,xi5)
尽欢 (jin4,huan1)
哭丧 (ku1,sang1)
朝阳区 (chao2,yang2,qu1)
数九 (shu3,jiu3)
一个劲 (yi2,ge4,jin4)
交臂失之 (jiao1,bi4,shi1,zhi1)
鹰击长空 (ying1,ji1,chang2,kong1)
不挑之祖 (bu4,tiao1,zhi1,zu3)
水尽山穷 (shui3,jin4,shan1,qiong2)
藏拙 (cang2,zhuo1)
调风弄月 (tiao2,feng1,nong4,yue4)
弟男子侄 (di4,nan2,zi3,zhi2)
万贯家私 (wan4,guan4,jia1,si1)
金屋藏娇 (jin1,wu1,cang2,jiao1)
柔筋脆骨 (rou2,jin1,cui4,gu3)
多一事不如少一事 (duo1,yi1,shi4,bu4,ru2,shao3,yi1,shi4)
女朋友 (nv3,peng2,you3)
如履平地 (ru2,lv3,ping2,di4)
藏掖 (cang2,ye4)
哑剧 (ya3,ju4)
挑食 (tiao1,shi2)
挑三豁四 (tiao1,san1,huo1,si4)
人莫予毒 (ren2,mo4,yu2,du2)
孔雀绿 (kong3,que4,lv4)
鸡骨支床 (ji1,gu3,zhi1,chuang2)
一笑了之 (yi1,xiao4,liao3,zhi1)
打摆子 (da3,bai3,zi3)
撬杠 (qiao4,gang4)
深山长谷 (shen1,shan1,chang2,gu3)
铃铛 (ling2,dang5)
煨干避湿 (wei1,gan1,bi4,shi1)
善善从长 (shan4,shan4,cong2,chang2)
钻皮出羽 (zuan1,pi2,chu1,yu3)
长久之计 (chang2,jiu3,zhi1,ji4)
返朴归真 (fan3,pu3,gui1,zhen1)
长线 (chang2,xian4)
哎呀 (ai1,ya1)
哑口 (ya3,kou3)
水绿 (shui3,lv4)
挑三拣四 (tiao1,san1,jian3,si4)
糊糊 (hu1,hu1)
长统 (chang2,tong3)
长编 (chang2,bian1)
焚骨扬灰 (fen2,gu3,yang2,hui1)
小便宜 (xiao3,pian2,yi2)
哇啦 (wa1,la1)
一无所知 (yi1,wu2,suo3,zhi1)
长缨 (chang2,ying1)
哪儿 (na3,er2)
内修外攘 (nei4,xiu1,wai5,rang3)
哎哟 (ai1,yo1)
轻徭薄赋 (qing1,yao2,bao2,fu4)
哗变 (hua2,bian4)
雨踪云迹 (yu3,zong1,yun2,ji4)
万古长青 (wan4,gu3,chang2,qing1)
捋虎须 (luo1,hu3,xu1)
干性油 (gan1,xing4,you2)
倒冠落珮 (dao3,guan4,luo4,pei4)
钢骨 (gang1,gu3)
不尽然 (bu4,jin4,ran2)
刁钻古怪 (diao1,zuan1,gu3,guai4)
匿藏 (ni4,cang2)
雕肝琢膂 (diao1,gan1,zhuo2,lv3)
机关算尽 (ji1,guan1,suan4,jin4)
长林丰草 (chang2,lin2,feng1,cao3)
深藏若虚 (shen1,cang2,ruo4,xu1)
无名之朴 (wu2,ming2,zhi1,pu3)
散发 (san4,fa4)
俏成俏败 (xiao4,cheng2,xiao4,bai4)
宽绰 (kuan1,chuo4)
存车处 (cun2,che1,chu4)
山穷水尽 (shan1,qiong2,shui3,jin4)
根孤伎薄 (gen1,gu1,ji4,bao2)
大处着墨 (da4,chu4,zhuo2,mo4)
油炸 (you2,zha2)
不辩菽麦 (bu4,bian4,shu1,mai4)
计穷力尽 (ji4,qiong2,li4,jin4)
槛花笼鹤 (jian4,hua1,long2,he4)
少男 (shao3,nan2)
冠屦倒施 (guan4,ju4,dao3,shi1)
长念却虑 (chang2,nian4,que4,lv4)
搁置 (ge1,zhi4)
概率论 (gai4,lv4,lun4)
赐给 (ci4,gei3)
壮发冲冠 (zhuang4,fa1,chong1,guan4)
翻箱倒柜 (fan1,xiang1,dao3,gui4)
正骨 (zheng4,gu3)
捶骨沥髓 (chui2,gu3,li4,sui3)
鸿爪 (hong2,zhao3)
沉着 (chen2,zhuo2)
呆板 (dai1,ban3)
豆腐干 (dou4,fu3,gan1)
敲骨吸髓 (qiao1,gu3,xi1,sui3)
长才广度 (chang2,cai2,guang3,du4)
欹嵚历落 (qi1,qin1,li4,luo4)
九折臂 (jiu3,zhe2,bi4)
哇塞 (wa1,sai1)
长舌 (chang2,she2)
纨绔子弟 (wan2,ku4,zi3,di4)
尽然 (jin4,ran2)
泥泞 (ni2,ning4)
无偏无陂 (wu2,pian1,wu2,bei1)
刻骨仇恨 (ke4,gu3,chou2,hen4)
发癣 (fa4,xuan3)
怨入骨髓 (yuan4,ru4,gu3,sui3)
长算远略 (chang2,suan4,yuan3,lve4)
白马王子 (bai2,ma3,wang2,zi3)
池鱼笼鸟 (chi2,yu2,long2,niao3)
子弟兵 (zi3,di4,bing1)
钜人长德 (ju4,ren2,chang2,de2)
鸿飞雪爪 (hong2,fei1,xue3,zhao3)
露丑 (lou4,chou3)
油干火尽 (you2,gan1,huo3,jin4)
学识 (xue2,shi2)
知识青年 (zhi1,shi2,qing1,nian2)
苦尽甘来 (ku3,jin4,gan1,lai2)
佛性禅心 (fo2,xing4,chan2,xin1)
骂骂咧咧 (ma4,ma4,lie1,lie1)
软骨病 (ruan3,gu3,bing4)
朽骨重肉 (xiu3,gu3,zhong4,rou4)
参禅 (can1,chan2)
铁骨 (tie3,gu3)
市场调节 (shi4,chang3,tiao2,jie2)
贮藏 (zhu4,cang2)
攘肌及骨 (rang3,ji1,ji2,gu3)
当头一棒 (dang1,tou2,yi1,bang4)
痛处 (tong4,chu4)
一针见血 (yi1,zhen1,jian4,xie3)
苦尽甜来 (ku3,jin4,tian2,lai2)
孤履危行 (gu1,lv3,wei1,xing2)
无穷尽 (wu2,qiong2,jin4)
氯化物 (lv4,hua4,wu4)
蔚然成风 (wei4,ran2,cheng2,feng1)
遁迹空门 (dun4,ji4,kong1,men2)
长命富贵 (chang2,ming4,fu4,gui4)
甲冠天下 (jia3,guan4,tian1,xia4)
松柏后凋 (song1,bai3,hou4,diao1)
为虎傅翼 (wei4,hu3,fu4,yi4)
薄田 (bo2,tian2)
露光 (lu4,guang1)
长命百岁 (chang2,ming4,bai3,sui4)
神差鬼遣 (shen2,cha4,gui3,qian3)
贞观 (zhen1,guan4)
桑荫不徙 (sang1,yin1,bu4,xi3)
鼻塞 (bi2,sai1)
曝骨履肠 (pu4,gu3,lv3,chang2)
哑子 (ya3,zi3)
长虹 (chang2,hong2)
长虫 (chang2,chong2)
鸟笼 (niao3,long2)
当着不着 (dang1,zhuo2,bu4,zhuo2)
一波三折 (yi1,bo1,san1,zhe2)
鸡笼 (ji1,long2)
电阻率 (dian4,zu3,lv4)
尽瘁 (jin4,cui4)
印累绶若 (yin4,lei2,shou4,ruo4)
攻心为上 (gong1,xin1,wei4,shang4)
不自量力 (bu4,zi4,liang4,li4)
东风入律 (dong1,feng1,ru4,lv4)
斩尽杀绝 (zhan3,jin4,sha1,jue2)
口碑载道 (kou3,bei1,zai4,dao4)
心长力短 (xin1,chang2,li4,duan3)
诲人不倦 (hui4,ren2,bu4,juan4)
有眼不识泰山 (you3,yan3,bu4,shi2,tai4,shan1)
折跟头 (zhe1,gen1,tou5)
刨花板 (bao4,hua1,ban3)
呕气 (ou3,qi4)
走为上计 (zou3,wei2,shang4,ji4)
绿暗红稀 (lv4,an4,hong2,xi1)
北门管钥 (bei3,men2,guan3,yue4)
长街 (chang2,jie1)
车前子 (che1,qian2,zi3)
子孙后代 (zi3,sun1,hou4,dai4)
弃短就长 (qi4,duan3,jiu4,chang2)
闳识孤怀 (hong2,shi2,gu1,huai2)
长衣 (chang2,yi1)
卓识 (zhuo2,shi2)
深谋远略 (shen1,mou2,yuan3,lve4)
生产率 (sheng1,chan3,lv4)
长衫 (chang2,shan1)
长袖 (chang2,xiu4)
长袜 (chang2,wa4)
一溜烟 (yi1,liu2,yan1)
养生丧死 (yang3,sheng1,sang4,si3)
薄荷脑 (bo4,he5,nao3)
长袍 (chang2,pao2)
虐待 (nve4,dai4)
哑巴 (ya3,ba1)
发隐擿伏 (fa1,yin3,ti1,fu2)
长裤 (chang2,ku4)
道骨仙风 (dao4,gu3,xian1,feng1)
痱子 (fei4,zi3)
长褂 (chang2,gua4)
络腮胡子 (luo4,sai1,hu2,zi3)
博识 (bo2,shi2)
殚思极虑 (dan1,si1,ji2,lv4)
塑料薄膜 (su4,liao4,bao2,mo2)
侃大山 (kan3,da4,shan1)
数以万计 (shu3,yi3,wan4,ji4)
不赞一词 (bu4,zan4,yi1,ci2)
童男童女 (tong2,nan2,tong2,nv3)
见死不救 (jian4,si3,bu4,jiu4)
唠唠 (lao4,lao4)
当务始终 (dang1,wu4,shi3,zhong1)
依依不舍 (yi1,yi1,bu4,she3)
亲骨肉 (qin1,gu3,rou4)
受累 (shou4,lei3)
裂裳裹足 (lie4,chang2,guo3,zu2)
饔飧不继 (yong1,sun1,bu4,ji4)
长斋绣佛 (chang2,zhai1,xiu4,fo2)
苏州码子 (su1,zhou1,ma3,zi3)
饶舌调唇 (rao2,she2,tiao2,chun2)
鸽笼 (ge1,long2)
哗世取名 (hua2,shi4,qu3,ming2)
溘然长逝 (ke4,ran2,chang2,shi4)
融为一体 (rong2,wei2,yi1,ti3)
涕泗滂沲 (ti4,si4,pang1,tuo2)
碌碌无闻 (lu4,lu4,wu2,wen2)
靡然向风 (mi2,ran2,xiang4,feng1)
发给 (fa1,gei3)
尽善尽美 (jin4,shan4,jin4,mei3)
洪洞 (hong2,tong2)
呵欠 (he1,qian4)
高举深藏 (gao1,ju3,shen1,cang2)
尽心竭力 (jin4,xin1,jie2,li4)
知羞识廉 (zhi1,xiu1,shi2,lian2)
取给 (qu3,gei3)
淑女 (shu1,nv3)
擿伏发隐 (ti1,fu2,fa1,yin3)
锁骨 (suo3,gu3)
药笼中物 (yao4,long2,zhong1,wu4)
万古长存 (wan4,gu3,chang2,cun2)
哩哩啦啦 (li5,li5,la1,la1)
灰蒙蒙 (hui1,meng1,meng2)
长诗 (chang2,shi1)
长话 (chang2,hua4)
负载 (fu4,zai4)
蕃茄 (fan1,qie2)
哄抢 (hong1,qiang3)
柳子戏 (liu3,zi3,xi4)
长谈 (chang2,tan2)
铭肌镂骨 (ming2,ji1,lou4,gu3)
三座大山 (san1,zuo4,da4,shan1)
调三斡四 (tiao2,san1,wo4,si4)
风信子 (feng1,xin4,zi3)
黑漆皮灯笼 (hei1,qi1,pi2,deng1,long2)
夺胎换骨 (duo2,tai1,huan4,gu3)
弦切角 (xian2,qie1,jiao3)
骨灰盒 (gu3,hui1,he2)
金苹果 (jin1,ping2,guo3)
桂子兰孙 (gui4,zi3,lan2,sun1)
蚌山 (beng4,shan1)
一尘不染 (yi1,chen2,bu4,ran3)
词穷理尽 (ci2,qiong2,li3,jin4)
高不成低不就 (gao1,bu4,cheng2,di1,bu4,jiu4)
一日之长 (yi1,ri4,zhi1,chang2)
靡坚不摧 (mi2,jian1,bu4,cui1)
六臂三头 (liu4,bi4,san1,tou2)
长足 (chang2,zu2)
为民除害 (wei4,min2,chu2,hai4)
男室女家 (nan2,shi4,nv3,jia1)
长跑 (chang2,pao3)
载酒问字 (zai4,jiu3,wen4,zi4)
赏识 (shang3,shi2)
捉迷藏 (zhuo1,mi2,cang2)
杀人不见血 (sha1,ren2,bu4,jian4,xue4)
露头 (lu4,tou2)
长跪 (chang2,gui4)
斧头 (fu3,tou2)
一霎那 (yi1,sha4,na4)
自为阶级 (zi4,wei4,jie1,ji2)
予智予雄 (yu2,zhi4,yu2,xiong2)
鶗鴂雕卉 (ti2,jue2,diao1,hui4)
应有尽有 (ying1,you3,jin4,you3)
骨肉未寒 (gu3,rou4,wei4,han2)
舍己为人 (she3,ji3,wei4,ren2)
匿迹隐形 (ni4,ji4,yin3,xing2)
物尽其用 (wu4,jin4,qi2,yong4)
多口相声 (duo1,kou3,xiang4,sheng5)
蒙骗 (meng2,pian4)
脊梁骨 (ji3,liang2,gu3)
鹤子梅妻 (he4,zi3,mei2,qi1)
知尽能索 (zhi1,jin4,neng2,suo3)
排骨 (pai2,gu3)
油绿 (you2,lv4)
水中捉月 (shui3,zhong1,zhuo1,yue4)
蛮劲 (man2,jin4)
薄纱 (bao2,sha1)
济济 (ji4,ji4)
父严子孝 (fu4,yan2,zi3,xiao4)
长辞 (chang2,ci2)
吸着 (xi1,zhuo2)
锤骨 (chui2,gu3)
繇役 (yao2,yi4)
长远 (chang2,yuan3)
天长日久 (tian1,chang2,ri4,jiu3)
男男女女 (nan2,nan2,nv3,nv3)
长虑却顾 (chang2,lv4,que4,gu4)
给与 (gei3,yu3)
一差两讹 (yi1,cha4,liang3,e2)
长途 (chang2,tu2)
长逝 (chang2,shi4)
饕风虐雪 (tao1,feng1,nve4,xue3)
舍己为公 (she3,ji3,wei4,gong1)
数不清 (shu3,bu4,qing1)
不一会儿 (bu4,yi1,hui4,er5)
老夫子 (lao3,fu1,zi3)
精疲力尽 (jing1,pi2,li4,jin4)
门殚户尽 (men2,dan1,hu4,jin4)
发蒙 (fa1,meng1)
柔情绰态 (rou2,qing2,chuo1,tai5)
舍近务远 (she3,jin4,wu4,yuan3)
不粘锅 (bu4,nian2,guo1)
给付 (gei3,fu4)
给以 (gei3,yi3)
骨肉团圆 (gu3,rou4,tuan2,yuan2)
食不重肉 (shi2,bu4,chong2,rou4)
腹载五车 (fu4,zai4,wu3,che1)
尽职 (jin4,zhi2)
刃迎缕解 (ren4,ying2,lv3,jie3)
赌长较短 (du3,chang2,jiao4,duan3)
数来宝 (shu3,lai2,bao3)
金石为开 (jin1,shi2,wei4,kai1)
蜜供 (mi4,gong4)
薄脆 (bao2,cui4)
右臂 (you4,bi4)
呲牙 (zi1,ya2)
不费吹灰之力 (bu4,fei4,chui1,hui1,zhi1,li4)
混子 (hun4,zi3)
千态万状 (qian1,tai5,wan4,zhuang4)
哭丧棒 (ku1,sang1,bang4)
宁为玉碎 (ning4,wei2,yu4,sui4)
三连冠 (san1,lian2,guan4)
薄膜 (bao2,mo2)
侄女婿 (zhi2,nv3,xu4)
紧追不舍 (jin3,zhui1,bu4,she3)
女扮男装 (nv3,ban4,nan2,zhuang1)
洞中肯綮 (dong4,zhong1,ken3,qing4)
哗世取宠 (hua2,shi4,qu3,chong3)
调嘴弄舌 (tiao2,zui3,nong4,she2)
了无惧色 (liao3,wu1,ju3,se4)
尽致 (jin4,zhi4)
急处从宽 (ji2,chu4,cong2,kuan1)
发蜡 (fa4,la4)
调朱傅粉 (tiao2,zhu1,fu4,fen3)
王侯将相 (wang2,hou2,jiang4,xiang4)
线呢 (xian4,ne5)
露底 (lou4,di3)
数米而炊 (shu3,mi3,er2,chui1)
无佛处称尊 (wu2,fo2,chu4,cheng1,zun1)
若丧考妣 (ruo4,sang4,kao3,bi3)
隋侯之珠 (sui2,hou2,zhi1,zhu1)
打马虎眼 (da3,ma3,hu5,yan3)
不含糊 (bu4,han2,hu5)
藏怒宿怨 (cang2,nu4,su4,yuan4)
含糊 (han2,hu5)
扛长工 (kang2,chang2,gong1)
薄荷 (bo4,he5)
丧身失节 (sang4,shen1,shi1,jie2)
薪给 (xin1,gei3)
力尽筋疲 (li4,jin4,jin1,pi2)
蕴藏 (yun4,cang2)
老调重弹 (lao3,diao4,zhong4,dan4)
波波碌碌 (bo1,bo1,lu4,lu4)
履约 (lv3,yue1)
咽气 (yan4,qi4)
骑驴倒堕 (qi2,lv2,dao3,duo4)
功亏一篑 (gong1,kui1,yi1,kui4)
红女 (hong2,nv3)
露怯 (lou4,qie4)
酒绿灯红 (jiu3,lv4,deng1,hong2)
喜兴 (xi3,xing4)
方差 (fang1,cha4)
差使 (chai1,shi3)
薄葬 (bao2,zang4)
当断不断 (dang1,duan4,bu4,duan4)
车削 (che1,xiao1)
敲骨取髓 (qiao1,gu3,qu3,sui3)
长长 (chang2,chang2)
碌碌无能 (lu4,lu4,wu2,neng2)
重气狥名 (zhong4,qi4,xun4,ming2)
左支右调 (zuo3,zhi1,you4,tiao2)
扬长避短 (yang2,chang2,bi4,duan3)
长恶不悛 (chang2,e4,bu4,quan1)
油藏 (you2,cang2)
绿水青山 (lv4,shui3,qing1,shan1)
长门 (chang2,men2)
骨碎补 (gu3,sui4,bu3)
躺柜 (tang3,gui4)
薄薄 (bao2,bao2)
长队 (chang2,dui4)
不堪一击 (bu4,kan1,yi1,ji1)
镌心铭骨 (juan1,xin1,ming2,gu3)
长随 (chang2,sui2)
塞耳盗钟 (sai1,er3,dao4,zhong1)
送子观音 (song4,zi3,guan1,yin1)
断子绝孙 (duan4,zi3,jue2,sun1)
当仁不让 (dang1,ren2,bu4,rang4)
琴瑟不调 (qin2,se4,bu4,tiao2)
桃红柳绿 (tao2,hong2,liu3,lv4)
唠扯 (lao4,che3)
鞘里藏刀 (qiao4,li3,cang2,dao1)
鞭长不及马腹 (bian1,chang2,bu4,ji2,ma3,fu4)
包藏奸心 (bao1,cang2,jian1,xin1)
钻天打洞 (zuan1,tian1,da3,dong4)
较德焯勤 (jiao4,de2,zhuo1,qin2)
巧劲 (qiao3,jin4)
长青 (chang2,qing1)
舐皮论骨 (shi4,pi2,lun4,gu3)
不三不四 (bu4,san1,bu4,si4)
瑟弄琴调 (se4,nong4,qin2,tiao2)
炎黄子孙 (yan2,huang2,zi3,sun1)
打哆嗦 (da3,duo1,suo5)
儿女心肠 (er2,nv2,xin1,chang2)
粉骨糜躯 (fen3,gu3,mi2,qu1)
吹弹得破 (chui1,tan2,de2,po4)
喔唷 (o1,yo1)
隋珠弹雀 (sui2,zhu1,tan2,que4)
粉骨糜身 (fen3,gu3,mi2,shen1)
长音 (chang2,yin1)
无尽 (wu2,jin4)
趔趄 (lie4,qie5)
英雄所见略同 (ying1,xiong2,suo3,jian4,lve4,tong2)
一声不吭 (yi1,sheng1,bu4,keng1)
超载 (chao1,zai4)
差劲 (cha4,jin4)
卜骨 (bu3,gu3)
轻赋薄敛 (qing1,fu4,bao2,lian3)
反眼不识 (fan3,yan3,bu4,shi2)
恶迹昭著 (e4,ji4,zhao1,zhu4)
妆聋做哑 (zhuang1,long2,zuo4,ya3)
织女 (zhi1,nv3)
较劲 (jiao4,jin4)
生育率 (sheng1,yu4,lv4)
疙瘩 (ge1,da1)
是否 (shi4,fou3)
朗朗乾坤 (lang3,lang3,qian2,kun1)
汝成人耶 (ru3,cheng2,ren2,ye2)
颜骨柳筋 (yan2,gu3,liu3,jin1)
绿化 (lv4,hua4)
水远山长 (shui3,yuan3,shan1,chang2)
喧哗 (xuan1,hua2)
级差 (ji2,cha4)
一蹶不振 (yi1,jue2,bu4,zhen4)
长沙市 (chang2,sha1,shi4)
明处 (ming2,chu4)
长驱 (chang2,qu1)
囚首丧面 (qiu2,shou3,sang4,mian4)
温差 (wen1,cha4)
万缕千丝 (wan4,lv3,qian1,si1)
旅游区 (lv3,you2,qu1)
收率 (shou1,lv4)
转圜 (zhuan3,huan2)
高识远见 (gao1,shi2,yuan3,jian4)
骑驴吟灞上 (qi2,lv2,yin2,ba4,shang4)
白骨再肉 (bai2,gu3,zai4,rou4)
雾鳞云爪 (wu4,lin2,yun2,zhao3)
浪子回头金不换 (lang4,zi3,hui2,tou2,jin1,bu4,huan4)
撰著 (zhuan4,zhe5)
杜门屏迹 (du4,men2,ping2,ji4)
哑火 (ya3,huo3)
过犹不及 (guo4,you2,bu4,ji2)
症状 (zheng4,zhuang4)
饮马长江 (yin3,ma3,chang2,jiang1)
哑炮 (ya3,pao4)
纪律 (ji4,lv4)
吐血 (tu4,xie3)
发迹 (fa1,ji4)
魂丧神夺 (hun2,sang4,shen2,duo2)
尽收眼底 (jin4,shou1,yan3,di3)
倒栽葱 (dao3,zai1,cong1)
间距 (jian1,ju4)
那不勒斯 (na4,bu4,le4,si1)
对口相声 (dui4,kou3,xiang4,sheng5)
时差 (shi2,cha4)
相亲 (xiang1,qin1)
骨肉相连 (gu3,rou4,xiang1,lian2)
垂直绿化 (chui2,zhi2,lv4,hua4)
结子 (jie2,zi3)
尽让 (jin4,rang4)
塞井夷灶 (sai1,jing3,yi2,zao4)
男女授受不亲 (nan2,nv3,shou4,shou4,bu4,qin1)
效率 (xiao4,lv4)
哗然 (hua2,ran2)
士为知己者死 (shi4,wei4,zhi1,ji3,zhe3,si3)
女能人 (nv3,neng2,ren2)
喽啰 (lou2,luo1)
弹斤估两 (tan2,jin1,gu1,liang3)
履汤蹈火 (lv3,tang1,dao3,huo3)
韧劲 (ren4,jin4)
给定 (gei3,ding4)
柳绿桃红 (liu3,lv4,tao2,hong2)
君子好逑 (jun1,zi3,hao4,qiu2)
脊椎骨 (ji3,zhui1,gu3)
艰苦朴素 (jian1,ku3,pu3,su4)
一言半语 (yi1,yan2,ban4,yu3)
挨家挨户 (ai1,jia1,ai1,hu4)
鸡毛掸子 (ji1,mao2,dan3,zi3)
履行 (lv3,xing2)
尽责 (jin4,ze2)
长鸣 (chang2,ming2)
小鬼头 (xiao3,gui3,tou2)
喉长气短 (hou2,chang2,qi4,duan3)
巫女 (wu1,nv3)
差失 (cha4,shi1)
深中肯綮 (shen1,zhong1,ken3,qing4)
不识高低 (bu4,shi2,gao1,di1)
弃短用长 (qi4,duan3,yong4,chang2)
惨绿年华 (can3,lv4,nian2,hua2)
带劲 (dai4,jin4)
女中丈夫 (nv3,zhong1,zhang4,fu1)
长鼓 (chang2,gu3)
陀螺 (tuo2,luo2)
长驾远驭 (chang2,jia4,yuan3,yu4)
行不履危 (xing2,bu4,lv3,wei1)
有会子 (you3,hui4,zi3)
侯门似海 (hou2,men2,si4,hai3)
长龙 (chang2,long2)
这些 (zhe4,xie1)
孺子可教 (ru2,zi3,ke3,jiao4)
砌红堆绿 (qi4,hong2,dui1,lv4)
含明隐迹 (han2,ming2,yin3,ji4)
卧虎藏龙 (wo4,hu3,cang2,long2)
佹形僪状 (gui3,xing2,yu4,zhuang4)
遁迹藏名 (dun4,ji4,cang2,ming2)
轴子 (zhou2,zi3)
谦受益 (qian1,shou4,yi4)
来日方长 (lai2,ri4,fang1,chang2)
下塞上聋 (xia4,sai1,shang4,long2)
男耕女织 (nan2,geng1,nv3,zhi1)
销毁骨立 (xiao1,hui3,gu3,li4)
左家娇女 (zuo3,jia1,jiao1,nv3)
短叹长吁 (duan3,tan4,chang2,xu1)
席卷 (xi2,juan3)
颤巍巍 (chan4,wei1,wei1)
意义深长 (yi4,yi4,shen1,chang2)
时日曷丧 (shi2,ri4,he2,sang4)
轻虑浅谋 (qing1,lv4,qian3,mou2)
绷子 (beng1,zi3)
龙柏 (long2,bai3)
闲言长语 (xian2,yan2,chang2,yu3)
差官 (cha4,guan1)
结结巴巴 (jie1,jie1,ba1,ba1)
益处 (yi4,chu4)
黛绿 (dai4,lv4)
余子碌碌 (yu2,zi3,lu4,lu4)
吃哑巴亏 (chi1,ya3,ba1,kui1)
新正 (xin1,zheng1)
倒好儿 (dao3,hao3,er2)
高才卓识 (gao1,cai2,zhuo2,shi2)
过劲 (guo4,jin4)
喜帖 (xi3,tie3)
嗨哟 (hai1,yo1)
无意识 (wu2,yi4,shi2)
一视同仁 (yi1,shi4,tong2,ren2)
女人气 (nv3,ren2,qi4)
否认 (fou3,ren4)
薄酒 (bo2,jiu3)
乾端坤倪 (qian2,duan1,kun1,ni2)
一言难尽 (yi1,yan2,nan2,jin4)
蜜里调油 (mi4,li3,tiao2,you2)
羹藜唅糗 (geng1,li2,han2,qiu3)
贞观之治 (zhen1,guan4,zhi1,zhi4)
塞井焚舍 (sai1,jing3,fen2,she3)
杀鸡吓猴 (sha1,ji1,xia4,hou2)
屏迹 (ping2,ji4)
善男信女 (shan4,nan2,xin4,nv3)
电线杆 (dian4,xian4,gan1)
